"","FIPS","GeoName","year","rpp_goods","rpp_services_housing","rpp_services_other","rpp_services_utilities","rpp_all_items"
"2857","33660","Mobile, AL (Metropolitan Statistical Area)",2014,"97.6","64.776","100.208","117.473","92.613"
"2858","33700","Modesto, CA (Metropolitan Statistical Area)",2014,"96.798","95.658","100.893","82.541","98.103"
"2859","33740","Monroe, LA (Metropolitan Statistical Area)",2014,"96.579","53.532","100.032","104.162","89.58"
"2860","33780","Monroe, MI (Metropolitan Statistical Area)",2014,"99.565","82.395","98.952","99.61","96.484"
"2861","33860","Montgomery, AL (Metropolitan Statistical Area)",2014,"97.583","64.273","100.204","117.52","92.317"
"2862","34060","Morgantown, WV (Metropolitan Statistical Area)",2014,"91.996","73.766","99.343","95.365","91.929"
"2863","34100","Morristown, TN (Metropolitan Statistical Area)",2014,"91.74","56.525","98.56","103.846","86.896"
"2864","34580","Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",2014,"97.876","93.92","100.027","87.594","97.905"
"2865","34620","Muncie, IN (Metropolitan Statistical Area)",2014,"98.745","66.949","96.462","106.151","91.608"
"2866","34740","Muskegon, MI (Metropolitan Statistical Area)",2014,"98.45","71.834","96.764","99.515","92.473"
"2867","34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",2014,"95.651","84.752","99.85","104.962","95.087"
"2868","34900","Napa, CA (Metropolitan Statistical Area)",2014,"108.876","181.468","103.183","82.524","113.597"
"2869","34940","Naples-Marco Island, FL (Metropolitan Statistical Area)",2014,"97.702","117.122","100.403","93.998","102.237"
"2870","34980","Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",2014,"97.399","89.848","100.145","104.076","97.655"
"2871","35100","New Bern, NC (Metropolitan Statistical Area)",2014,"91.221","70.676","99.09","100.82","90.045"
"2872","35300","New Haven-Milford, CT (Metropolitan Statistical Area)",2014,"107.51","125.841","106.168","97.509","109.081"
"2873","35380","New Orleans-Metairie, LA (Metropolitan Statistical Area)",2014,"97.918","92.977","100.461","104.169","98.485"
"2874","35620","New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",2014,"108.938","170.83","104.649","104.811","113.119"
"2875","35660","Niles, MI (Metropolitan Statistical Area)",2014,"98.45","70.714","96.764","99.582","92.135"
"2876","35840","North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",2014,"97.702","114.348","100.403","94.019","101.608"
"2877","35980","Norwich-New London, CT (Metropolitan Statistical Area)",2014,"97.079","98.751","98.335","97.418","97.99"
"2878","36100","Ocala, FL (Metropolitan Statistical Area)",2014,"97.702","73.083","100.403","93.628","93.932"
"2879","36140","Ocean City, NJ (Metropolitan Statistical Area)",2014,"97.566","121.202","101.099","108.655","105.716"
"2880","36220","Odessa, TX (Metropolitan Statistical Area)",2014,"97.646","112.379","100.219","115.323","101.283"
"2881","36260","Ogden-Clearfield, UT (Metropolitan Statistical Area)",2014,"96.618","93.078","100.703","87.825","97.573"
"2882","36420","Oklahoma City, OK (Metropolitan Statistical Area)",2014,"97.676","80.115","100.045","111.299","96.055"
"2883","36500","Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",2014,"104.493","114.158","102.247","87.662","104.179"
"2884","36540","Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",2014,"98.243","89.899","96.932","101.06","96.425"
"2885","36740","Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",2014,"97.702","106.638","100.403","93.812","100.292"
"2886","36780","Oshkosh-Neenah, WI (Metropolitan Statistical Area)",2014,"98.848","80.111","96.51","94.007","94.328"
"2887","36980","Owensboro, KY (Metropolitan Statistical Area)",2014,"97.198","64.3","100.282","102.305","92.572"
"2888","37100","Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",2014,"104.89","179.204","101.564","82.87","110.72"
"2889","37340","Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",2014,"97.702","97.397","100.403","93.98","98.833"
"2890","37460","Panama City, FL (Metropolitan Statistical Area)",2014,"97.702","86.27","100.403","93.799","96.434"
"2891","37620","Parkersburg-Vienna, WV (Metropolitan Statistical Area)",2014,"97.523","55.153","100.378","95.659","90.688"
"2892","37860","Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",2014,"97.702","85.568","100.403","93.762","96.774"
